(0, 0)(2, 2)(4, 4)(0, 2)(0, 4)(0, 6)
(0, 0)(2, 2)(4, 4)(0, 2)(0, 4)(2, 0)
(0, 0)(2, 2)(4, 4)(0, 2)(0, 4)(2, 4)
(0, 0)(2, 2)(4, 4)(0, 2)(0, 4)(2, 6)
(0, 0)(2, 2)(4, 4)(0, 2)(0, 4)(3, 7)
(0, 0)(2, 2)(4, 4)(0, 2)(0, 4)(4, 0)
(0, 0)(2, 2)(4, 4)(0, 2)(0, 4)(4, 2)
(0, 0)(2, 2)(4, 4)(0, 2)(0, 4)(4, 6)
(0, 0)(2, 2)(4, 4)(0, 2)(0, 4)(4, 7)
(0, 0)(2, 2)(4, 4)(0, 2)(0, 4)(5, 0)
(0, 0)(2, 2)(4, 4)(0, 2)(0, 4)(5, 1)
(0, 0)(2, 2)(4, 4)(0, 2)(0, 4)(5, 7)
(0, 0)(2, 2)(4, 4)(0, 2)(0, 4)(6, 0)
(0, 0)(2, 2)(4, 4)(0, 2)(0, 4)(6, 1)
(0, 0)(2, 2)(4, 4)(0, 2)(0, 4)(6, 2)
(0, 0)(2, 2)(4, 4)(0, 2)(0, 4)(6, 4)
(0, 0)(2, 2)(4, 4)(0, 2)(0, 4)(6, 6)
(0, 0)(2, 2)(4, 4)(0, 2)(0, 4)(6, 7)
(0, 0)(2, 2)(4, 4)(0, 2)(0, 4)(7, 0)
(0, 0)(2, 2)(4, 4)(0, 2)(0, 4)(7, 1)
(0, 0)(2, 2)(4, 4)(0, 2)(0, 4)(7, 2)
(0, 0)(2, 2)(4, 4)(0, 2)(0, 4)(7, 3)
(0, 0)(2, 2)(4, 4)(0, 2)(0, 4)(7, 4)
(0, 0)(2, 2)(4, 4)(0, 2)(0, 4)(7, 5)
(0, 0)(2, 2)(4, 4)(0, 2)(0, 4)(7, 6)
(0, 0)(2, 2)(4, 4)(0, 2)(0, 4)(7, 7)
(0, 0)(2, 2)(4, 4)(0, 2)(2, 0)(2, 4)
(0, 0)(2, 2)(4, 4)(0, 2)(2, 0)(2, 6)
(0, 0)(2, 2)(4, 4)(0, 2)(2, 0)(3, 7)
(0, 0)(2, 2)(4, 4)(0, 2)(2, 0)(4, 0)
(0, 0)(2, 2)(4, 4)(0, 2)(2, 0)(4, 2)
(0, 0)(2, 2)(4, 4)(0, 2)(2, 0)(4, 6)
(0, 0)(2, 2)(4, 4)(0, 2)(2, 0)(4, 7)
(0, 0)(2, 2)(4, 4)(0, 2)(2, 0)(5, 0)
